Ололош Петр Вазгенович
Арапова Анастасия Алексеевна
Бармин Никита Юрьевич
Блинов Максим Сергеевич
Володин Дмитрий Павлович
Володина Ксения Андреевна
Корунков Иван Александрович
Махарадзе Константин Бидзинович
Остапенко Дмитрий Евгеньевич
Пасько Дмитрий Анатольевич
Ржавин Тимофей Сергеевич
Силаев Владислав Сергеевич
Ситников Андрей Валентинович
Шаврин Александр Сергеевич
Некрасов Василий Иванович
Онипко Константин Петрович
Сидоров Евгений Вальрьянович
Иванов Сидор Константинович
Мышь Мила Ивановна
